year,e_pop_num,e_prev_100k,e_inc_100k,
1990,11731193,327,189,
1991,12612043,359,189,
1992,13811876,387,189,
1993,15175325,412,189,
1994,16485018,431,189,
1995,17586073,447,189,
1996,18415307,461,189,
1997,19021226,469,189,
1998,19496836,474,189,
1999,19987071,465,189,
2000,20595360,449,189,
2001,21347782,431,189,
2002,22202806,416,189,
2003,23116142,396,189,
2004,24018682,380,189,
2005,24860855,369,189,
2006,25631282,360,189,
2007,26349243,354,189,
2008,27032197,350,189,
2009,27708187,348,189,
2010,28397812,350,189,
2011,29105480,352,189,
2012,29824536,358,189,
1990,3446882,36,24,
1991,3459763,35,24,
1992,3446858,34,24,
1993,3417280,33,24,
1994,3384367,33,24,
1995,3357858,32,24,
1996,3341043,32,24,
1997,3331317,32,24,
1998,3325456,36,26,
1999,3317941,41,27,
2000,3304948,30,23,
2001,3286084,26,21,
2002,3263596,31,23,
2003,3239385,29,21,
2004,3216197,30,21,
2005,3196130,27,20,
2006,3179573,25,18,
2007,3166222,22,17,
2008,3156608,22,17,
2009,3151185,24,17,
2010,3150143,24,17,
2011,3153883,23,17,
2012,3162083,22,16,
1990,26239708,112,66,
1991,26893663,102,62,
1992,27535151,98,61,
1993,28157560,119,70,
1994,28752749,113,69,
1995,29315463,110,68,
1996,29845208,128,76,
1997,30345466,138,81,
1998,30820435,118,74,
1999,31276295,129,79,
2000,31719449,148,87,
2001,32150198,139,84,
2002,32572977,142,86,
2003,33003442,146,88,
2004,33461345,143,87,
2005,33960903,156,93,
2006,34507214,150,90,
2007,35097043,150,90,
2008,35725377,138,85,
2009,36383302,147,89,
2010,37062820,151,90,
2011,37762962,152,90,
2012,38481705,152,89,
1990,47044,46,26,
1991,48379,11,8.3,
1992,49597,9.3,2.7,
1993,50725,16,10,
1994,51807,17,10,
1995,52874,21,12,
1996,53926,25,13,
1997,54942,29,15,
1998,55899,10,7.2,
1999,56768,16,9.4,
2000,57522,9.4,6.9,
2001,58176,8.9,6.8,
2002,58729,6.7,4.5,
2003,59117,7.6,6.6,
2004,59262,18,11,
2005,59117,23,13,
2006,58652,12,8.3,
2007,57919,8.1,6.1,
2008,57053,8.1,6,
2009,56245,11,7.9,
2010,55636,11,7.8,
2011,55274,12,7.8,
