year,pop,inc100k,prev100k,mort100k,mort100klo,mort100khi
1990,11731193,189,327,31,7.3,72
1991,12612043,189,359,35,9.1,78
1992,13811876,189,387,39,11,83
1993,15175325,189,412,42,13,89
1994,16485018,189,431,46,15,95
1995,17586073,189,447,49,17,100
1996,18415307,189,461,53,19,106
1997,19021226,189,469,57,20,111
1998,19496836,189,474,57,21,112
1999,19987071,189,465,56,20,109
2000,20595360,189,449,53,19,102
2001,21347782,189,431,50,19,96
2002,22202806,189,416,47,18,90
2003,23116142,189,396,44,17,83
2004,24018682,189,380,41,16,77
2005,24860855,189,369,39,16,73
2006,25631282,189,360,37,15,69
2007,26349243,189,354,36,15,67
2008,27032197,189,350,36,15,65
2009,27708187,189,348,35,15,65
2010,28397812,189,350,35,15,65
2011,29105480,189,352,36,15,66
2012,29824536,189,358,37,15,68
1990,3446882,24,36,3.1,2.3,3.9
1991,3459763,24,35,2.7,2,3.4
1992,3446858,24,34,1.1,0.75,1.5
1993,3417280,24,33,1.5,1.1,1.9
1994,3384367,24,33,3.6,2.6,4.7
1995,3357858,24,32,0.68,0.55,0.83
1996,3341043,24,32,1.5,1.2,1.8
1997,3331317,24,32,0.84,0.66,1.1
1998,3325456,26,36,0.94,0.73,1.2
1999,3317941,27,41,0.79,0.59,1
2000,3304948,23,30,0.82,0.57,1.1
2001,3286084,21,26,0.68,0.5,0.89
2002,3263596,23,31,0.71,0.5,0.94
2003,3239385,21,29,0.61,0.43,0.82
2004,3216197,21,30,0.63,0.44,0.85
2005,3196130,20,27,0.57,0.39,0.79
2006,3179573,18,25,0.54,0.36,0.75
2007,3166222,17,22,0.5,0.33,0.7
2008,3156608,17,22,0.46,0.29,0.66
2009,3151185,17,24,0.42,0.26,0.62
2010,3150143,17,24,0.38,0.23,0.58
2011,3153883,17,23,0.34,0.2,0.53
2012,3162083,16,22,0.31,0.16,0.49
1990,26239708,66,112,11,3.7,21
1991,26893663,62,102,9.3,3.2,19
1992,27535151,61,98,8.8,2.9,18
1993,28157560,70,119,11,3.9,22
1994,28752749,69,113,10,3.6,21
1995,29315463,68,110,9.9,3.4,20
1996,29845208,76,128,12,4.2,24
1997,30345466,81,138,13,4.6,26
1998,30820435,74,118,11,3.5,21
1999,31276295,79,129,12,4.1,24
2000,31719449,87,148,14,4.9,28
2001,32150198,84,139,13,4.4,26
2002,32572977,86,142,13,4.5,26
2003,33003442,88,146,14,4.7,27
